csv_id,csv_type,creator_id,entity_name,field_name,reference_field_name,disp_name,rank,enable_flg,create_date,update_date,discriminator_type
"1","1","1","Eccube\\Entity\\Product","id",,"商品ID","1","1","2017-03-07 10:14:55","2017-03-07 10:14:55","csv"
"2","1","1","Eccube\\Entity\\Product","Status","id","公開ステータス(ID)","2","1","2017-03-07 10:14:55","2017-03-07 10:14:55","csv"
"3","1","1","Eccube\\Entity\\Product","Status","name","公開ステータス(名称)","3","1","2017-03-07 10:14:55","2017-03-07 10:14:55","csv"
"4","1","1","Eccube\\Entity\\Product","name",,"商品名","4","1","2017-03-07 10:14:55","2017-03-07 10:14:55","csv"
"5","1","1","Eccube\\Entity\\Product","note",,"ショップ用メモ欄","5","1","2017-03-07 10:14:55","2017-03-07 10:14:55","csv"
"6","1","1","Eccube\\Entity\\Product","description_list",,"商品説明(一覧)","6","1","2017-03-07 10:14:55","2017-03-07 10:14:55","csv"
"7","1","1","Eccube\\Entity\\Product","description_detail",,"商品説明(詳細)","7","1","2017-03-07 10:14:55","2017-03-07 10:14:55","csv"
"8","1","1","Eccube\\Entity\\Product","search_word",,"検索ワード","8","1","2017-03-07 10:14:55","2017-03-07 10:14:55","csv"
"9","1","1","Eccube\\Entity\\Product","free_area",,"フリーエリア","9","1","2017-03-07 10:14:55","2017-03-07 10:14:55","csv"
"10","1","1","Eccube\\Entity\\ProductClass","id",,"商品規格ID","10","1","2017-03-07 10:14:55","2017-03-07 10:14:55","csv"
"11","1","1","Eccube\\Entity\\ProductClass","ProductType","id","商品種別(ID)","11","1","2017-03-07 10:14:55","2017-03-07 10:14:55","csv"
"12","1","1","Eccube\\Entity\\ProductClass","ProductType","name","商品種別(名称)","12","1","2017-03-07 10:14:55","2017-03-07 10:14:55","csv"
"13","1","1","Eccube\\Entity\\ProductClass","ClassCategory1","id","規格分類1(ID)","13","1","2017-03-07 10:14:55","2017-03-07 10:14:55","csv"
"14","1","1","Eccube\\Entity\\ProductClass","ClassCategory1","name","規格分類1(名称)","14","1","2017-03-07 10:14:55","2017-03-07 10:14:55","csv"
"15","1","1","Eccube\\Entity\\ProductClass","ClassCategory2","id","規格分類2(ID)","15","1","2017-03-07 10:14:55","2017-03-07 10:14:55","csv"
"16","1","1","Eccube\\Entity\\ProductClass","ClassCategory2","name","規格分類2(名称)","16","1","2017-03-07 10:14:55","2017-03-07 10:14:55","csv"
"17","1","1","Eccube\\Entity\\ProductClass","DeliveryDate","id","発送日目安(ID)","17","1","2017-03-07 10:14:55","2017-03-07 10:14:55","csv"
"18","1","1","Eccube\\Entity\\ProductClass","DeliveryDate","name","発送日目安(名称)","18","1","2017-03-07 10:14:55","2017-03-07 10:14:55","csv"
"19","1","1","Eccube\\Entity\\ProductClass","code",,"商品コード","19","1","2017-03-07 10:14:55","2017-03-07 10:14:55","csv"
"20","1","1","Eccube\\Entity\\ProductClass","stock",,"在庫数","20","1","2017-03-07 10:14:55","2017-03-07 10:14:55","csv"
"21","1","1","Eccube\\Entity\\ProductClass","stock_unlimited",,"在庫数無制限フラグ","21","1","2017-03-07 10:14:55","2017-03-07 10:14:55","csv"
"22","1","1","Eccube\\Entity\\ProductClass","sale_limit",,"販売制限数","22","1","2017-03-07 10:14:55","2017-03-07 10:14:55","csv"
"23","1","1","Eccube\\Entity\\ProductClass","price01",,"通常価格","23","1","2017-03-07 10:14:55","2017-03-07 10:14:55","csv"
"24","1","1","Eccube\\Entity\\ProductClass","price02",,"販売価格","24","1","2017-03-07 10:14:55","2017-03-07 10:14:55","csv"
"25","1","1","Eccube\\Entity\\ProductClass","delivery_fee",,"送料","25","0","2017-03-07 10:14:55","2017-03-07 10:14:55","csv"
"26","1","1","Eccube\\Entity\\Product","ProductImage","file_name","商品画像","26","1","2017-03-07 10:14:55","2017-03-07 10:14:55","csv"
"27","1","1","Eccube\\Entity\\Product","ProductCategories","category_id","商品カテゴリ(ID)","27","1","2017-03-07 10:14:55","2017-03-07 10:14:55","csv"
"28","1","1","Eccube\\Entity\\Product","ProductCategories","Category","商品カテゴリ(名称)","28","1","2017-03-07 10:14:55","2017-03-07 10:14:55","csv"
"29","2","1","Eccube\\Entity\\Customer","id",,"会員ID","1","1","2017-03-07 10:14:55","2017-03-07 10:14:55","csv"
"30","2","1","Eccube\\Entity\\Customer","name01",,"お名前(姓)","2","1","2017-03-07 10:14:55","2017-03-07 10:14:55","csv"
"31","2","1","Eccube\\Entity\\Customer","name02",,"お名前(名)","3","1","2017-03-07 10:14:55","2017-03-07 10:14:55","csv"
"32","2","1","Eccube\\Entity\\Customer","kana01",,"お名前(セイ)","4","1","2017-03-07 10:14:55","2017-03-07 10:14:55","csv"
"33","2","1","Eccube\\Entity\\Customer","kana02",,"お名前(メイ)","5","1","2017-03-07 10:14:55","2017-03-07 10:14:55","csv"
"34","2","1","Eccube\\Entity\\Customer","company_name",,"会社名","6","1","2017-03-07 10:14:55","2017-03-07 10:14:55","csv"
